name,url,method,headers,selectors
stock_prices,https://finance.yahoo.com/quote/AAPL/history,GET,"{'User-Agent': 'Mozilla/5.0'}",date:tr td:first-child;open:tr td:nth-child(2);close:tr td:nth-child(5)
co2_emissions,https://ourworldindata.org/co2-emissions,GET,"{'User-Agent': 'Mozilla/5.0'}",value1:table tr td:nth-child(2);value2:table tr td:nth-child(3)
